DATE    |OPEN  |LOW   |HI    |CLOSE |VOLUME |EMA13   |EMA26
20161208|772.48|767.23|778.18|776.42|1488059|764.6172|212.8211
20161207|761.0|755.8|771.36|771.19|1760966|762.6501|213.7443
20161206|764.73|757.34|768.83|759.11|1690689|761.2267|214.5519
20161205|757.71|752.9|763.9|762.52|1394223|761.5795|215.2884
20161202|744.59|743.1|754.0|750.5|1452484|761.4228|215.6889
20161201|757.44|737.02|759.85|747.92|3017947|763.2432|216.0484
20161130|770.07|754.83|772.99|758.04|2392890|765.7971|216.5015
20161129|771.53|768.24|778.5|770.84|1616618|767.09|216.9447
20161128|760.0|759.8|779.53|768.24|2188151|766.4649|217.3814
20161125|764.26|760.52|765.0|761.68|587421|766.1691|217.6886
20161123|767.73|755.25|768.28|760.99|1478417|766.9173|218.3456
20161122|772.63|767.0|776.96|768.27|1593108|767.9052|219.3016
20161121|762.61|760.6|769.7|769.2|1330639|767.8444|220.5901
20161118|771.37|760.0|775.0|760.54|1547145|767.6184|222.5868
20161117|766.92|764.23|772.7|771.23|1286961|768.7982|224.3294
20161116|755.2|750.51|766.36|764.48|1472594|768.3928|225.0825
20161115|746.97|746.97|764.42|758.49|2384001|769.045|225.2896
20161114|755.6|727.54|757.85|736.08|3654385|770.8042|224.6961
20161111|756.54|750.38|760.78|754.02|2431815|776.5915|223.3313
20161110|791.17|752.18|791.17|762.56|4745183|780.3534|221.5715
20161109|779.94|771.67|791.23|785.31|2607121|783.319|219.3208
20161108|783.4|780.19|795.63|790.51|1366873|782.9872|216.9353
20161107|774.5|772.55|785.19|782.52|1585070|781.7334|214.3936
20161104|750.66|750.56|770.36|762.02|2134812|781.6023|211.2814
20161103|767.25|759.03|769.95|762.13|1943175|784.866|208.5014
20161102|778.2|763.45|781.65|768.7|1918414|788.6553|206.5553
20161101|782.89|775.54|789.49|783.61|2406356|791.9812|206.1285
20161031|795.47|784.0|796.86|784.54|2427284|793.3764|206.1057
20161028|808.35|793.59|815.49|795.37|4269902|794.8491|204.2487
20161027|801.0|791.5|803.49|795.35|2749221|794.7623|201.8138
20161026|806.34|796.32|806.98|799.07|1647733|794.6643|199.3554
20161025|816.68|805.14|816.68|807.67|1576404|793.9301|196.4639
20161024|804.9|804.82|815.18|813.11|1697514|791.6401|193.3913
20161021|795.0|794.0|799.5|799.37|1266181|788.0618|189.8623
20161020|803.3|796.03|803.97|796.97|1757528|786.177|186.7283
20161019|798.86|797.64|804.63|801.56|1766798|784.3782|184.6346
20161018|787.85|785.56|801.61|795.26|2056903|781.5146|183.019
20161017|779.8|777.5|785.85|779.96|1092973|779.2237|181.6176
20161014|781.65|776.0|783.95|778.53|852487|779.101|180.5164
20161013|781.22|773.0|781.22|778.19|1365277|779.1961|179.927
20161012|783.76|782.06|788.13|786.14|937435|779.3638|179.6013
20161011|786.66|780.58|792.28|783.07|1372461|778.2345|179.5136
20161010|777.71|775.87|789.38|785.94|1174923|777.4285|179.9215
20161007|779.66|770.75|779.66|775.08|933158|776.01|181.2217
20161006|779.0|775.54|780.48|776.86|1070692|776.165|182.8787
20161005|779.31|775.65|782.07|776.47|1461151|776.0491|183.8896
20161004|776.03|772.89|778.71|776.43|1201350|775.979|183.9381
20161003|774.25|769.5|776.06|772.56|1278821|775.9038|183.9826
20160930|776.33|774.09|780.94|777.29|1585333|776.4611|184.1718
20160929|781.44|774.23|785.8|775.01|1314746|776.3229|183.9368
20160928|777.85|774.97|781.81|781.56|1109834|776.5418|183.1464
20160927|775.5|774.31|785.99|783.01|1153247|775.7054|181.7355
20160926|782.74|773.07|782.74|774.21|1533206|774.488|180.6387
20160923|786.59|784.15|788.93|786.9|1411937|774.5343|180.4698
20160922|780.0|778.44|789.85|787.21|1486223|772.4733|179.713
20160921|772.66|768.3|777.16|776.22|1167810|770.0172|178.2586
20160920|769.0|768.53|773.33|771.41|978631|768.9834|176.8902
20160919|772.42|764.44|774.0|765.7|1172824|768.579|175.8752
20160916|769.75|764.66|769.75|768.88|2049338|769.0588|175.2718
20160915|762.89|759.96|773.8|771.76|1346751|769.0886|175.4585
20160914|759.61|759.11|767.68|762.49|1094490|768.6434|176.3655
20160913|764.48|755.8|766.22|759.69|1395046|769.669|177.6786
20160912|755.13|754.0|770.29|769.02|1310986|771.3322|178.666
20160909|770.1|759.66|773.24|759.66|1885496|771.7175|179.4751
20160908|778.59|773.58|780.35|775.32|1270264|773.7271|180.9344
20160907|780.0|776.2|782.73|780.35|894021|773.4616|182.8429
20160906|773.45|771.0|782.0|780.08|1442822|772.3136|184.6897
20160902|773.01|768.41|773.92|771.46|1072658|771.0191|186.8122
20160901|769.25|764.3|771.02|768.78|925131|770.9457|189.6326
20160831|767.01|765.38|769.09|767.05|1248556|771.3066|192.8431
20160830|769.33|766.84|774.47|769.09|1130029|772.0161|195.5601
20160829|768.74|766.62|774.99|772.15|847565|772.5037|197.5414
20160826|769.0|765.85|776.08|769.54|1166681|772.5627|199.3849
20160825|767.0|763.18|771.89|769.41|926883|773.0665|200.5007
20160824|770.58|767.07|774.5|769.64|1071999|773.6759|201.2958
20160823|775.48|771.78|776.44|772.08|928232|774.3485|202.4432
20160822|773.27|770.05|774.54|772.15|951362|774.7266|203.7263
20160819|775.0|773.13|777.1|775.42|861546|775.156|204.6501
20160818|780.01|777.0|782.86|777.5|719429|775.1121|204.9505
20160817|777.32|773.53|780.81|779.91|924226|774.7141|205.0164
20160816|780.3|773.44|780.98|777.14|1028047|773.8481|205.1559
20160815|783.75|780.11|787.49|782.44|938186|773.2994|205.1266
20160812|781.5|780.4|783.4|783.22|740498|771.776|204.9198
20160811|785.0|782.97|789.75|784.85|975113|769.8687|204.9968
20160810|783.75|782.78|786.81|784.68|786363|767.3718|205.3889
20160809|781.1|780.57|788.94|784.26|1318894|764.4871|205.9528
20160808|782.0|778.09|782.63|781.76|1107857|761.1916|206.5124
20160805|773.78|772.34|783.04|782.22|1801205|757.7635|207.027
20160804|772.22|768.8|774.07|771.61|1140254|753.6874|207.1776
20160803|767.18|766.82|773.21|773.18|1287421|750.7003|206.2757
20160802|768.69|767.85|775.84|771.07|1784525|746.9537|204.1339
20160801|761.09|761.09|780.43|772.88|2700470|742.9343|202.0216
20160729|772.71|766.77|778.55|768.79|3841482|737.9433|200.1812
20160728|747.04|739.3|748.65|745.91|3530169|732.8022|198.324
20160727|738.28|737.0|744.46|741.77|1512517|730.6176|196.4976
20160726|739.04|734.27|741.69|738.42|1186738|728.7589|195.218
20160725|740.67|737.5|742.61|739.77|1032432|727.1487|194.7111
20160722|741.86|736.56|743.24|742.74|1259823|725.0451|194.3217
20160721|740.36|735.83|741.69|738.63|1026306|722.096|193.8711
20160720|737.33|737.1|742.13|741.19|1289671|719.3403|193.339
20160719|729.89|729.0|736.99|736.96|1227486|715.6987|192.7189
20160718|722.71|721.19|736.13|733.78|1295476|712.1552|191.4141
20160715|725.73|719.06|725.74|719.85|1279339|708.551|189.5193
20160714|721.58|718.03|722.21|720.95|950193|706.6679|188.1991
20160713|723.62|716.85|724.0|716.98|935876|704.2875|187.863
20160712|719.12|715.91|722.94|720.64|1336921|702.1721|187.9442
20160711|708.05|707.24|716.51|715.09|1111762|699.0941|188.1458
20160708|699.5|696.44|705.71|705.63|1575166|696.4282|188.4648
20160707|698.08|688.22|698.2|695.36|1304200|694.8945|188.8385
20160706|689.98|689.09|701.68|697.77|1411925|694.817|189.4649
20160705|696.06|688.88|696.94|694.49|1462616|694.3248|190.2002
20160701|692.2|692.13|700.65|699.21|1344710|694.2972|190.8324
20160630|685.47|683.65|692.32|692.1|1597714|693.4785|191.1439
20160629|683.0|681.41|687.43|684.11|1932561|693.7082|191.1931
20160628|678.97|673.0|680.33|680.04|2173762|695.3079|191.2409
20160627|671.0|663.28|672.3|668.26|2641085|697.8525|191.7435
20160624|675.17|673.45|689.4|675.22|4449022|702.7846|192.7407
20160623|697.45|687.0|701.95|701.87|2171415|707.3787|193.4769
20160622|699.06|693.08|700.86|697.46|1184318|708.2969|193.9963
20160621|698.4|692.01|702.77|695.94|1465634|710.103|194.9395
20160620|698.77|693.41|702.48|693.71|2082538|712.4635|195.634
20160617|708.65|688.45|708.82|691.72|3402357|715.5891|195.912
20160616|714.91|703.26|716.65|710.36|1982471|719.5673|196.1154
20160615|719.0|717.31|722.98|718.92|1214517|721.1018|196.3285
20160614|716.48|713.12|722.47|718.27|1306065|721.4655|197.0682
20160613|716.51|716.51|725.44|718.36|1258930|721.9981|197.9486
20160610|719.47|716.43|725.89|719.41|1216443|722.6044|198.846
20160609|722.87|722.34|729.54|728.58|988914|723.1368|199.7212
20160608|723.96|720.58|728.57|728.28|1583701|722.2296|200.4689
20160607|719.84|716.55|721.98|716.65|1336754|721.2212|201.4555
20160606|724.91|714.61|724.91|716.55|1566059|721.9831|202.7553
20160603|729.27|720.56|729.49|722.34|1226253|722.8886|203.7161
20160602|732.5|724.17|733.02|730.4|1341807|722.98|204.2777
20160601|734.53|730.66|737.21|734.15|1253593|721.7433|204.8302
20160531|731.74|731.26|739.73|735.72|2129545|719.6755|205.2884
20160527|724.01|724.0|733.94|732.66|1974026|717.0015|205.9266
20160526|722.87|720.28|728.33|724.12|1542866|714.3917|206.6018
20160525|720.76|719.7|727.51|725.27|1629198|712.7703|206.7582
20160524|706.86|706.86|720.97|720.09|1920411|710.687|206.3742
20160523|706.53|704.18|711.48|704.24|1320927|709.1199|205.7064
20160520|701.62|700.52|714.58|709.74|1816027|709.9332|204.8302
20160519|702.36|696.8|706.0|700.32|1656321|709.9654|203.8146
20160518|703.67|700.63|711.6|706.63|1763394|711.573|202.6653
20160517|715.99|704.11|721.52|706.23|1999456|712.3968|201.5328
20160516|709.13|705.65|718.48|716.49|1316177|713.4246|200.0541
20160513|711.93|709.26|716.66|710.83|1307338|712.9137|198.3467
20160512|717.06|709.0|719.25|713.31|1360732|713.261|197.0073
20160511|723.41|712.8|724.48|715.29|1686823|713.2528|196.0216
20160510|716.75|715.72|723.5|723.18|1563105|712.9133|194.9264
20160509|712.0|710.0|718.71|712.9|1508423|711.2022|193.6535
20160506|698.38|698.11|711.86|711.12|1826146|710.9192|192.5394
20160505|697.7|695.72|702.32|701.43|1677405|710.8857|191.8888
20160504|690.49|689.01|699.75|695.7|1688569|712.4617|191.5231
20160503|696.87|692.0|697.84|692.36|1530993|715.2553|190.9367
20160502|697.63|691.0|700.64|698.21|1644126|719.0712|190.2797
20160429|690.7|689.0|697.62|693.01|2484273|722.548|189.7335
20160428|708.26|689.55|714.17|691.02|2851108|727.471|189.3872
20160427|707.29|692.37|708.98|705.84|3086722|733.5462|188.8884
20160426|725.42|703.03|725.77|708.14|2727185|738.1639|188.1202
20160425|716.1|715.59|723.93|723.15|1955567|743.1679|187.7331
20160422|726.3|713.61|736.12|718.77|5939199|746.5042|188.0914
20160421|755.38|749.55|760.45|759.14|2743620|751.1266|188.5407
20160420|758.0|750.01|758.13|752.67|1525591|749.791|188.7738
20160419|769.51|749.33|769.9|753.93|2027642|749.3112|188.9483
20160418|760.46|757.3|768.05|766.61|1555953|748.5414|188.853
20160415|753.98|752.69|761.0|759.0|1800413|745.5299|188.7729
20160414|754.01|752.7|757.31|753.2|1130971|743.2849|188.9646
20160413|749.16|744.26|754.38|751.72|1707095|741.6324|189.5336
20160412|738.0|731.01|743.83|743.09|1349734|739.9512|190.406
20160411|743.02|736.05|745.0|736.1|1211762|739.428|190.923
20160408|743.97|735.55|745.45|739.15|1285755|739.9827|190.7579
20160407|745.37|736.28|747.0|740.28|1429504|740.1215|190.3501
20160406|735.77|735.56|746.24|745.69|1050193|740.095|190.055
20160405|738.0|735.37|742.8|737.8|1129829|739.1625|190.0586
20160404|750.06|742.43|752.8|745.29|1131843|739.3896|190.2847
20160401|738.6|737.0|750.34|749.91|1574870|738.4062|190.6995
20160331|749.25|740.94|750.85|744.95|1712375|736.4889|191.3813
20160330|750.1|748.74|757.88|750.53|1780998|735.0788|192.1828
20160329|734.59|728.76|747.25|744.77|1902128|732.5036|192.8312
20160328|736.79|732.5|738.99|733.53|1299812|730.4591|193.3349
20160324|732.01|731.0|737.75|735.3|1564782|729.9473|193.9367
20160323|742.36|736.15|745.72|738.06|1421861|729.0552|194.6499
20160322|737.46|737.46|745.0|740.75|1264396|727.5544|195.5743
20160321|736.5|733.52|742.5|742.09|1831839|725.3552|196.4196
20160318|741.86|731.83|742.0|737.6|2796376|722.566|197.3254
20160317|736.45|736.0|743.07|737.78|1856800|720.0604|198.63
20160316|726.37|724.51|737.47|736.09|1572329|717.1071|200.248
20160315|726.92|724.77|732.29|728.33|1720965|713.9433|201.9141
20160314|726.81|725.15|735.5|730.49|1716910|711.5455|203.2768
20160311|720.0|717.12|726.92|726.82|1963907|708.3881|203.9429
20160310|708.12|703.36|716.44|712.82|2829412|705.3161|204.1896
20160309|698.47|694.0|705.68|705.24|1418704|704.0655|204.3529
20160308|688.59|685.34|703.79|693.97|2063357|703.8697|204.0965
20160307|706.9|686.9|708.09|695.16|2985094|705.5196|204.0253
20160304|714.99|706.02|716.49|710.89|1967873|707.2463|204.6842
20160303|718.68|706.02|719.45|712.42|1956761|706.639|205.3529
20160302|719.0|712.0|720.0|718.85|1627753|705.6755|205.8303
20160301|703.62|699.77|718.81|718.81|2147442|703.4797|206.5112
20160229|700.32|697.68|710.89|697.77|2280280|700.9247|207.1816
20160226|708.58|700.86|713.43|705.07|2239978|701.4504|207.9968
20160225|700.01|690.58|705.98|705.75|1631855|700.8472|209.0914
20160224|688.92|680.78|700.0|699.56|1958611|700.03|210.4068
20160223|701.45|693.58|708.4|695.85|1999699|700.1084|212.0321
20160222|707.45|702.51|713.24|706.46|1946067|700.8181|213.8437
20160219|695.03|694.05|703.08|700.91|1582260|699.8778|215.3788
20160218|710.0|696.03|712.35|697.35|1859130|699.7057|216.8218
20160217|699.0|691.38|709.75|708.4|2466808|700.0984|218.3253
20160216|692.98|685.05|698.0|691.0|2497024|698.7147|219.3639
20160212|690.26|678.6|693.75|682.4|2129831|700.0005|220.3026
20160211|675.0|668.87|689.35|683.11|3007223|702.934|221.5051
20160210|686.86|682.13|701.31|684.12|2627379|706.2379|222.8761
20160209|672.32|668.77|699.9|678.11|3604335|709.9243|224.4402
20160208|667.85|663.06|684.03|682.74|4212541|715.2267|226.493
20160205|703.87|680.15|703.99|683.57|5069985|720.6411|229.1716
20160204|722.81|701.86|727.0|708.01|5145855|726.8196|232.3971
20160203|770.22|720.5|774.5|726.95|6162333|729.9545|235.9467
20160202|784.5|764.65|789.87|764.65|6332431|730.4553|238.4518
20160201|750.46|743.27|757.86|752.0|4801816|724.7562|239.0799
20160129|731.53|726.8|744.99|742.95|3394935|720.2156|239.2002
20160128|722.22|712.35|733.69|730.96|2658016|716.4265|239.1317
20160127|713.67|694.39|718.24|699.99|2139970|714.0042|238.538
