DATE    ,OPEN  ,LOW   ,HI    
20161208,772.48,767.23,778.18
20161207,761,755.8,771.36
20161206,764.73,757.34,768.83
20161205,757.71,752.9,763.9
20161202,744.59,743.1,754
20161201,757.44,737.02,759.85
20161130,770.07,754.83,772.99
20161129,771.53,768.24,778.5
20161128,760,759.8,779.53
20161125,764.26,760.52,765
20161123,767.73,755.25,768.28
20161122,772.63,767,776.96
20161121,762.61,760.6,769.7
20161118,771.37,760,775
20161117,766.92,764.23,772.7
20161116,755.2,750.51,766.36
20161115,746.97,746.97,764.42
20161114,755.6,727.54,757.85
20161111,756.54,750.38,760.78
20161110,791.17,752.18,791.17
20161109,779.94,771.67,791.23
20161108,783.4,780.19,795.63
20161107,774.5,772.55,785.19
20161104,750.66,750.56,770.36
20161103,767.25,759.03,769.95
20161102,778.2,763.45,781.65
20161101,782.89,775.54,789.49
20161031,795.47,784,796.86
20161028,808.35,793.59,815.49
20161027,801,791.5,803.49
20161026,806.34,796.32,806.98
20161025,816.68,805.14,816.68
20161024,804.9,804.82,815.18
20161021,795,794,799.5
20161020,803.3,796.03,803.97
20161019,798.86,797.64,804.63
20161018,787.85,785.56,801.61
20161017,779.8,777.5,785.85
20161014,781.65,776,783.95
20161013,781.22,773,781.22
20161012,783.76,782.06,788.13
20161011,786.66,780.58,792.28
20161010,777.71,775.87,789.38
20161007,779.66,770.75,779.66
20161006,779,775.54,780.48
20161005,779.31,775.65,782.07
20161004,776.03,772.89,778.71
20161003,774.25,769.5,776.06
20160930,776.33,774.09,780.94
20160929,781.44,774.23,785.8
20160928,777.85,774.97,781.81
20160927,775.5,774.31,785.99
20160926,782.74,773.07,782.74
20160923,786.59,784.15,788.93
20160922,780,778.44,789.85
20160921,772.66,768.3,777.16
20160920,769,768.53,773.33
20160919,772.42,764.44,774
20160916,769.75,764.66,769.75
20160915,762.89,759.96,773.8
20160914,759.61,759.11,767.68
20160913,764.48,755.8,766.22
20160912,755.13,754,770.29
20160909,770.1,759.66,773.24
20160908,778.59,773.58,780.35
20160907,780,776.2,782.73
20160906,773.45,771,782
20160902,773.01,768.41,773.92
20160901,769.25,764.3,771.02
20160831,767.01,765.38,769.09
20160830,769.33,766.84,774.47
20160829,768.74,766.62,774.99
20160826,769,765.85,776.08
20160825,767,763.18,771.89
20160824,770.58,767.07,774.5
20160823,775.48,771.78,776.44
20160822,773.27,770.05,774.54
20160819,775,773.13,777.1
20160818,780.01,777,782.86
20160817,777.32,773.53,780.81
20160816,780.3,773.44,780.98
20160815,783.75,780.11,787.49
20160812,781.5,780.4,783.4
20160811,785,782.97,789.75
20160810,783.75,782.78,786.81
20160809,781.1,780.57,788.94
20160808,782,778.09,782.63
20160805,773.78,772.34,783.04
20160804,772.22,768.8,774.07
20160803,767.18,766.82,773.21
20160802,768.69,767.85,775.84
20160801,761.09,761.09,780.43
20160729,772.71,766.77,778.55
20160728,747.04,739.3,748.65
20160727,738.28,737,744.46
20160726,739.04,734.27,741.69
20160725,740.67,737.5,742.61
20160722,741.86,736.56,743.24
20160721,740.36,735.83,741.69
20160720,737.33,737.1,742.13
20160719,729.89,729,736.99
20160718,722.71,721.19,736.13
20160715,725.73,719.06,725.74
20160714,721.58,718.03,722.21
20160713,723.62,716.85,724
20160712,719.12,715.91,722.94
20160711,708.05,707.24,716.51
20160708,699.5,696.44,705.71
20160707,698.08,688.22,698.2
20160706,689.98,689.09,701.68
20160705,696.06,688.88,696.94
20160701,692.2,692.13,700.65
20160630,685.47,683.65,692.32
20160629,683,681.41,687.43
20160628,678.97,673,680.33
20160627,671,663.28,672.3
20160624,675.17,673.45,689.4
20160623,697.45,687,701.95
20160622,699.06,693.08,700.86
20160621,698.4,692.01,702.77
20160620,698.77,693.41,702.48
20160617,708.65,688.45,708.82
20160616,714.91,703.26,716.65
20160615,719,717.31,722.98
20160614,716.48,713.12,722.47
20160613,716.51,716.51,725.44
20160610,719.47,716.43,725.89
20160609,722.87,722.34,729.54
20160608,723.96,720.58,728.57
20160607,719.84,716.55,721.98
20160606,724.91,714.61,724.91
20160603,729.27,720.56,729.49
20160602,732.5,724.17,733.02
20160601,734.53,730.66,737.21
20160531,731.74,731.26,739.73
20160527,724.01,724,733.94
20160526,722.87,720.28,728.33
20160525,720.76,719.7,727.51
